uf,ano,campanha,doses_aplicadas,populacao_alvo,fonte,url,data_extracao
AC,2026,covid19,2331,,"SI-PNI / Portal de Dados Abertos do SUS - doses aplicadas pelo Programa Nacional de Imunizacoes, agregadas por UF, campanha e ano",https://dadosabertos.saude.gov.br/dataset/doses-aplicadas-pelo-programa-de-nacional-de-imunizacoes-pni-2026,2026-09-17
AL,2026,covid19,4205,,"SI-PNI / Portal de Dados Abertos do SUS - doses aplicadas pelo Programa Nacional de Imunizacoes, agregadas por UF, campanha e ano",https://dadosabertos.saude.gov.br/dataset/doses-aplicadas-pelo-programa-de-nacional-de-imunizacoes-pni-2026,2026-09-17
AM,2026,covid19,16872,,"SI-PNI / Portal de Dados Abertos do SUS - doses aplicadas pelo Programa Nacional de Imunizacoes, agregadas por UF, campanha e ano",https://dadosabertos.saude.gov.br/dataset/doses-aplicadas-pelo-programa-de-nacional-de-imunizacoes-pni-2026,2026-09-17
AP,2026,covid19,3662,,"SI-PNI / Portal de Dados Abertos do SUS - doses aplicadas pelo Programa Nacional de Imunizacoes, agregadas por UF, campanha e ano",https://dadosabertos.saude.gov.br/dataset/doses-aplicadas-pelo-programa-de-nacional-de-imunizacoes-pni-2026,2026-09-17
BA,2026,covid19,10900,,"SI-PNI / Portal de Dados Abertos do SUS - doses aplicadas pelo Programa Nacional de Imunizacoes, agregadas por UF, campanha e ano",https://dadosabertos.saude.gov.br/dataset/doses-aplicadas-pelo-programa-de-nacional-de-imunizacoes-pni-2026,2026-09-17
CE,2026,covid19,25116,,"SI-PNI / Portal de Dados Abertos do SUS - doses aplicadas pelo Programa Nacional de Imunizacoes, agregadas por UF, campanha e ano",https://dadosabertos.saude.gov.br/dataset/doses-aplicadas-pelo-programa-de-nacional-de-imunizacoes-pni-2026,2026-09-17
DF,2026,covid19,10898,,"SI-PNI / Portal de Dados Abertos do SUS - doses aplicadas pelo Programa Nacional de Imunizacoes, agregadas por UF, campanha e ano",https://dadosabertos.saude.gov.br/dataset/doses-aplicadas-pelo-programa-de-nacional-de-imunizacoes-pni-2026,2026-09-17
ES,2026,covid19,6222,,"SI-PNI / Portal de Dados Abertos do SUS - doses aplicadas pelo Programa Nacional de Imunizacoes, agregadas por UF, campanha e ano",https://dadosabertos.saude.gov.br/dataset/doses-aplicadas-pelo-programa-de-nacional-de-imunizacoes-pni-2026,2026-09-17
GO,2026,covid19,7784,,"SI-PNI / Portal de Dados Abertos do SUS - doses aplicadas pelo Programa Nacional de Imunizacoes, agregadas por UF, campanha e ano",https://dadosabertos.saude.gov.br/dataset/doses-aplicadas-pelo-programa-de-nacional-de-imunizacoes-pni-2026,2026-09-17
MA,2026,covid19,4870,,"SI-PNI / Portal de Dados Abertos do SUS - doses aplicadas pelo Programa Nacional de Imunizacoes, agregadas por UF, campanha e ano",https://dadosabertos.saude.gov.br/dataset/doses-aplicadas-pelo-programa-de-nacional-de-imunizacoes-pni-2026,2026-09-17
MG,2026,covid19,25479,,"SI-PNI / Portal de Dados Abertos do SUS - doses aplicadas pelo Programa Nacional de Imunizacoes, agregadas por UF, campanha e ano",https://dadosabertos.saude.gov.br/dataset/doses-aplicadas-pelo-programa-de-nacional-de-imunizacoes-pni-2026,2026-09-17
MS,2026,covid19,5045,,"SI-PNI / Portal de Dados Abertos do SUS - doses aplicadas pelo Programa Nacional de Imunizacoes, agregadas por UF, campanha e ano",https://dadosabertos.saude.gov.br/dataset/doses-aplicadas-pelo-programa-de-nacional-de-imunizacoes-pni-2026,2026-09-17
MT,2026,covid19,3610,,"SI-PNI / Portal de Dados Abertos do SUS - doses aplicadas pelo Programa Nacional de Imunizacoes, agregadas por UF, campanha e ano",https://dadosabertos.saude.gov.br/dataset/doses-aplicadas-pelo-programa-de-nacional-de-imunizacoes-pni-2026,2026-09-17
PA,2026,covid19,26534,,"SI-PNI / Portal de Dados Abertos do SUS - doses aplicadas pelo Programa Nacional de Imunizacoes, agregadas por UF, campanha e ano",https://dadosabertos.saude.gov.br/dataset/doses-aplicadas-pelo-programa-de-nacional-de-imunizacoes-pni-2026,2026-09-17
PB,2026,covid19,6303,,"SI-PNI / Portal de Dados Abertos do SUS - doses aplicadas pelo Programa Nacional de Imunizacoes, agregadas por UF, campanha e ano",https://dadosabertos.saude.gov.br/dataset/doses-aplicadas-pelo-programa-de-nacional-de-imunizacoes-pni-2026,2026-09-17
PE,2026,covid19,15095,,"SI-PNI / Portal de Dados Abertos do SUS - doses aplicadas pelo Programa Nacional de Imunizacoes, agregadas por UF, campanha e ano",https://dadosabertos.saude.gov.br/dataset/doses-aplicadas-pelo-programa-de-nacional-de-imunizacoes-pni-2026,2026-09-17
