uf,ano,populacao
AC,2024,880631
AL,2024,3220104
AM,2024,4281209
AP,2024,802837
BA,2024,14850513
CE,2024,9233656
DF,2024,2982818
ES,2024,4102129
GO,2024,7350483
MA,2024,7010960
MG,2024,21322691
MS,2024,2901895
MT,2024,3836399
PA,2024,8664306
PB,2024,4145040
PE,2024,9539029
PI,2024,3375646
PR,2024,11824665
RJ,2024,17219679
RN,2024,3446071
RO,2024,1746227
RR,2024,716793
RS,2024,11229915
SC,2024,8058441
SE,2024,2291077
SP,2024,45973194
TO,2024,1577342
AC,2025,884372
AL,2025,3220848
AM,2025,4321616
AP,2025,806517
BA,2025,14870907
CE,2025,9268836
DF,2025,2996899
ES,2025,4126854
GO,2025,7423629
MA,2025,7018211
MG,2025,21393441
MS,2025,2924631
MT,2025,3893659
PA,2025,8711196
PB,2025,4164468
PE,2025,9562007
PI,2025,3384547
PR,2025,11890517
RJ,2025,17223547
RN,2025,3455236
RO,2025,1751950
RR,2025,738772
RS,2025,11233263
SC,2025,8187029
SE,2025,2299425
SP,2025,46081801
TO,2025,1586859
AC,2026,887794
AL,2026,3221128
AM,2026,4360926
AP,2026,809953
BA,2026,14889472
CE,2026,9302211
DF,2026,3009996
ES,2026,4150692
GO,2026,7495033
MA,2026,7024557
MG,2026,21460311
MS,2026,2946317
MT,2026,3950330
PA,2026,8756324
PB,2026,4182828
PE,2026,9583176
PI,2026,3392617
PR,2026,11952456
RJ,2026,17225410
RN,2026,3463737
RO,2026,1757338
RR,2026,761012
RS,2026,11233317
SC,2026,8312759
SE,2026,2307255
SP,2026,46179008
TO,2026,1595994
